und_codigo,und_descricao,und_sigla,und_municipio,und_coord,und_status,                                                      
9121,ESCOLA ESTADUAL TEN. CORONEL CANDIDO JOSE MARIANO,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                             
9137,ESCOLA ESTADUAL CORONEL PEDRO CAMARA,,MANAUS,COORD. DISTRITAL 04,Ativa,              
9302,EETI PROFESSORA LECITA FONSECA RAMOS,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                                                                             
9610,ESCOLA ESTADUAL PROFESSOR ROFRAN BELCHIOR DA SILVA,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                 
9685,ANEXO DA E E AYRTON SENNA,,MANAUS,,Ativa,                                                                                
9731,CETI DARIANA ZULEICA CORREA LOPES,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                              
9823,ESCOLA ESTADUAL TEREZINHA ALMEIDA DA SILVA,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                                                               
9914,ANEXO DO COLEGIO MILITAR DA POLICIA MILITAR I,,MANAUS,,Ativa,                                                                                        
9924,ANEXO DA ESCOLA ESTADUAL IRMA GABRIELLE COGELS,,MANAUS,,Ativa,                               
9952,ANEXO DA ESCOLA ESTADUAL JACIMAR DA SILVA GAMA,,MANAUS,,Ativa,                                                                       
1499,EE JOSEPHINA DE MELO,,MANAUS,COORD. DISTRITAL 03,Ativa,
